word	type	identifier
Hexosamine	Chemical	MESH:D006595
Fructose-6-P	Chemical	MESH:D005632
Acetyl-CoA	Chemical	MESH:D000105
Malonyl-CoA	Chemical	MESH:D008316
Fatty acids	Chemical	MESH:D005227
Glucose	Chemical	MESH:D005947
Fatty acids	Chemical	MESH:D005227
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
TCA	Chemical	MESH:C000589078
Pyruvate	Chemical	MESH:D011773
Acyl-CoA	Chemical	MESH:D000214
Pentose Phosphate	Chemical	MESH:D010429
Lactate	Chemical	MESH:D019344
Acetyl CoA	Chemical	MESH:D000105
Succinate	Chemical	MESH:D013386
Citrate	Chemical	MESH:C102006
Succinyl	Chemical	MESH:C035687
Nucleotide	Chemical	MESH:D009711
Isocitrate	Chemical	MESH:D007523
Glutamate	Chemical	NA
Glutamine	Chemical	MESH:C578860
