word	type	identifier
Glucose	Chemical	MESH:D005947
ATP	Chemical	MESH:D000255
ADP	Chemical	MESH:D000244
Pyruvate	Chemical	MESH:D011773
Glucose	Chemical	MESH:D005947
phosphate	Chemical	MESH:D010710
Trehalose	Chemical	MESH:D014199
Trehalose	Chemical	MESH:D014199
Glucose	Chemical	MESH:D005947
phosphate	Chemical	MESH:D010710
Trehalose	Chemical	MESH:D014199
phosphate	Chemical	MESH:D010710
UTP	Chemical	MESH:D014544
UDP	Chemical	MESH:D014530
Glucose	Chemical	MESH:D005947
phosphate	Chemical	MESH:D010710
UDP	Chemical	MESH:D014530
glucose	Chemical	MESH:D005947
