word	type	identifier
Nitrogen	Chemical	MESH:D009584
Nitrogen	Chemical	MESH:D009584
Sucrose	Chemical	MESH:D013395
Galactose	Chemical	MESH:D005690
D-Arbol Shikimic acid Lactulose Goic acid F-26-P	Chemical	MESH:D007792
Galactose	Chemical	MESH:D005690
F-6-P	Chemical	MESH:D010695
Sarcosine	Chemical	MESH:D012521
Galactonic acid	Chemical	MESH:C012991
D-Glycenic acid	Chemical	MESH:C007792
Glycine Sphingosine	Chemical	MESH:D013110
Threonic acid	Chemical	MESH:C011369
Serine	Chemical	MESH:C047902
Glycerol	Chemical	MESH:D005990
Gataric acid	Chemical	MESH:D000596
Phenylalanine Valine Alanine	Chemical	MESH:C119108
Glycolic acid	Chemical	MESH:C031149
Lactose	Chemical	MESH:D007785
F-2-P Lactic acid	Chemical	MESH:D019344
Sphingosine	Chemical	MESH:D013110
Lactic acid	Chemical	MESH:D019344
PEP	Chemical	MESH:C073248
Glycolic acid	Chemical	MESH:C031149
PEP	Chemical	MESH:C073248
P-801	Chemical	MESH:C045988
4-amisebuye acid	Chemical	MESH:C082768
Linoleic acid	Chemical	MESH:D008041
GABA	Chemical	MESH:D005680
Iconic acid Methymalonic acidMalonic acid	Chemical	MESH:C030290
Stearic acid 3-Hydroxypropionic acid Palmitate	Chemical	MESH:C031601
3-hydroxy-L-proline	Chemical	MESH:C489032
5-reinovalenc acid	Chemical	MESH:C068492
3-Aminobutyric acid	Chemical	MESH:C047667
Linalnic acid	Chemical	MESH:D000596
Ste acid	Chemical	MESH:C556639
Itaconic	Chemical	MESH:C005229
Linoleic acid	Chemical	MESH:D008041
Acetyl CoA	Chemical	MESH:D000105
Osalic acid	Chemical	MESH:D000596
Aspartic acid	Chemical	MESH:C403564
Organic acid	Chemical	MESH:D013463
TCA	Chemical	MESH:C000589078
Cimanalic acid	Chemical	MESH:D000596
Asparagi	Chemical	NA
Aspartic acid	Chemical	MESH:C403564
2-hydroxypsnidine Nicotinic acid Threonine Isoleucine	Chemical	MESH:C000006
Famaric acid	Chemical	MESH:D000596
Callic acid Funaric acid	Chemical	MESH:D000596
TCA	Chemical	MESH:C000589078
Asparagne	Chemical	NA
Succinic	Chemical	MESH:D019802
Maleic acid	Chemical	MESH:C030272
Feralic acid	Chemical	MESH:D000596
Cimenolic acid	Chemical	MESH:D000596
Ben	Chemical	MESH:C118522
Caffeic acid Salicylic acid Noabesperidin Pranin	Chemical	MESH:D002109
Caffic acid Salicylic acid	Chemical	MESH:D020156
Saccinic acid	Chemical	MESH:D000596
Threonine	Chemical	MESH:C061951
L-proline	Chemical	MESH:C489032
