word	type	identifier
Phenylalanine	Chemical	MESH:C119108
Flavonoids	Chemical	MESH:D005419
Cinnanic acid	Chemical	MESH:D000596
Flavonoids	Chemical	MESH:D005419
Dihydromyricetin	Chemical	MESH:C472036
Leucodelphinidin	Chemical	MESH:C031451
Delphinidin	Chemical	MESH:C017185
4-coumaroy-CoA	Chemical	MESH:C065987
OMT	Chemical	MESH:C060706
P-coumaric acid	Chemical	MESH:C032171
F35H	Chemical	MESH:C533290
Delphinidin 3-0-glucoside	Chemical	MESH:C494120
Naringenin chalcone	Chemical	MESH:C027329
CHI	Chemical	MESH:C084533
Dihydroksemmpferol	Chemical	NA
Leucopelargonidin	Chemical	MESH:C087775
Pelargonidin	Chemical	MESH:C066957
Pelargonidin 3-O-glucoside	Chemical	MESH:C078485
Isoflavones	Chemical	MESH:D007529
Petunidin 3-O-glucoside Pelargonidin 3,5-diglucoside	Chemical	MESH:C082179
Dihydroquercetin	Chemical	MESH:C003377
Leucocyanidin	Chemical	MESH:C001532
Cyanidin	Chemical	MESH:C017154
Flavonols	Chemical	MESH:D044948
Isoflavones	Chemical	MESH:D007529
Cyanidin	Chemical	MESH:C017154
Cyanidin 3-0-rut	Chemical	MESH:C017154
Cyanidin 3,5-diglu	Chemical	MESH:C017154
OMT	Chemical	MESH:C060706
Flavonols	Chemical	MESH:D044948
Peonidin 3-O-glucoside	Chemical	MESH:C480521
Peonidin 3-O-malglu	Chemical	MESH:C473205
