word	mesh	match	name	doid
sarcoma	NA	sarcoma	sarcoma	DOID:1115
Leukemia	NA	leukemia	leukemia	DOID:1240
lymphoma	NA	lymphoma	lymphoma	DOID:0060058
lymphoma	NA	lymphoma	lymphoma	DOID:0060058
Leukemia	NA	leukemia	leukemia	DOID:1240
lymphoma	NA	lymphoma	lymphoma	DOID:0060058
leukemia	NA	leukemia	leukemia	DOID:1240
Leukemia	NA	leukemia	leukemia	DOID:1240
Myeloid Leukemia	NA	myeloid leukemia	myeloid leukemia	DOID:8692
B-cell lymphoma	NA	B-cell lymphoma	B-cell lymphoma	DOID:707
Multiple Myeloma	NA	multiple myeloma	multiple myeloma	DOID:9538
Acute Myeloid Leukemia	NA	acute myeloid leukemia	acute myeloid leukemia	DOID:9119
Large B-cell lymphoma	NA	large B-cell lymphoma	large B-cell lymphoma	DOID:0081452
Chronic Lymphocytic Leukemia	NA	chronic lymphocytic leukemia	chronic lymphocytic leukemia	DOID:1040
acute lymphoblastic leukemia	NA	acute lymphoblastic leukemia	acute lymphoblastic leukemia	DOID:9952
Diffuse Large B-cell lymphoma	NA	diffuse large B-cell lymphoma	diffuse large B-cell lymphoma	DOID:0050745
T-cell acute lymphoblastic leukemia	NA	T-cell acute lymphoblastic leukemia	T-cell acute lymphoblastic leukemia	DOID:5603
