word	mesh	match	name	doid
Carcinoma	NA	carcinoma	carcinoma	DOID:305
Cancer	NA	cancer	cancer	DOID:162
Cancer	NA	cancer	cancer	DOID:162
Cancer	NA	cancer	cancer	DOID:162
Cancer	NA	cancer	cancer	DOID:162
Cancer	NA	cancer	cancer	DOID:162
Cancer	NA	cancer	cancer	DOID:162
Ovarian Cancer	NA	ovarian cancer	ovarian cancer	DOID:2394
Cervical Cancer	NA	cervical cancer	cervical cancer	DOID:4362
Prostate Cancer	NA	prostate cancer	prostate cancer	DOID:10283
Endometrial Cancer	NA	endometrial cancer	endometrial cancer	DOID:1380
Testicular Cancer	NA	testicular cancer	testicular cancer	DOID:2998
Renal Cell Carcinoma	NA	renal cell carcinoma	renal cell carcinoma	DOID:4450
