word	mesh	match	name	chebi
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Ribose-5-P	mesh:D012266	NA	NA	NA
Ribulose-5-P	mesh:C100182	NA	NA	NA
Glucose-6-P	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Fructose-6-P Lactate	mesh:D019344	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
Itaconate	mesh:C005229	itaconic acid	itaconic acid	chebi:30838
Citrate	mesh:C102006	NA	NA	NA
Acetyl	mesh:C011632	NA	NA	NA
ADP	mesh:D000244	NA	NA	NA
Isocitrate	mesh:D007523	NA	NA	NA
Fumarate	mesh:D005650	NA	NA	NA
FADH	mesh:C058805	FADH2	1,5-dihydro-FAD	chebi:17877
Succinate Succinyl	mesh:D013386	Succinates	succinate	chebi:26806
Ca2+	mesh:D002118	Calcium	calcium atom	chebi:22984
Glutamate	NA	NA	NA	NA
Glutamine	mesh:C578860	Arg-Gln	arginyl-glutamine	chebi:73813
Pentose Phosphate	mesh:D010429	Pentoses	pentose	chebi:25901
Tricarboxylic acid	mesh:D014233	Tricarboxylic Acids	tricarboxylic acid	chebi:27093
Fatty acids	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
