word	type	identifier
Cholesterol	Chemical	MESH:D002784
OH	Chemical	MESH:C031356
DCA	Chemical	MESH:C048628
OH	Chemical	MESH:C031356
Cholesterol	Chemical	MESH:D002784
Bile acids	Chemical	MESH:D001647
LCA	Chemical	MESH:C502354
OH	Chemical	MESH:C031356
CDCA	Chemical	MESH:C081330
DCA	Chemical	MESH:C048628
LCA	Chemical	MESH:C502354
CDCA	Chemical	MESH:C081330
OH	Chemical	MESH:C031356
CoA thioester	Chemical	MESH:C117410
Taurine	Chemical	MESH:D013654
OH	Chemical	MESH:C031356
OH	Chemical	MESH:C031356
OH	Chemical	MESH:C031356
BMCA 31,67-OH	Chemical	MESH:C054548
Cysteic acid	Chemical	MESH:D003544
Taurine	Chemical	MESH:D013654
61,7-OH	Chemical	MESH:C117212
Methionine	Chemical	MESH:D008715
Cysteine	Chemical	MESH:D003545
Cysteine	Chemical	MESH:D003545
sulfonic acid	Chemical	MESH:D013451
Taurine	Chemical	MESH:D013654
Hypotaurine	Chemical	MESH:C003949
