word	type	identifier
Alanine	Chemical	MESH:D000409
aspartate	Chemical	NA
glutamate	Chemical	NA
Glutamate	Chemical	NA
Methanol	Chemical	MESH:D000432
Arginine	Chemical	MESH:D001127
proline	Chemical	MESH:C489032
Vitamin B6	Chemical	MESH:D025101
Succinate	Chemical	MESH:D013386
4-Amino	Chemical	MESH:D000596
butanoate	Chemical	MESH:C095498
Methyl acetate	Chemical	MESH:C046923
Propanol	Chemical	MESH:D020005
Acetone	Chemical	MESH:D000096
3-Butyn-1-ol	Chemical	MESH:C021965
Butane	Chemical	MESH:D002073
butanoate	Chemical	MESH:C095498
Succinate	Chemical	MESH:D013386
semaldehyde	Chemical	NA
4-Hydroxy	Chemical	MESH:D006880
R)-3-((R)-3-Hydroxy	Chemical	MESH:C034940
butanoyloxybutanole	Chemical	NA
1-Butanol	Chemical	MESH:D020001
Fumarate	Chemical	MESH:D005650
Acetoacetate	Chemical	MESH:D000090
(R)-3-Hydroxybutanoate	Chemical	MESH:C003182
4-Hydroxy	Chemical	MESH:D006880
butanol-CoA	Chemical	MESH:D000440
Poly-B-hydroxybutyrate	Chemical	MESH:C003182
3-Butenoyl-CoA	Chemical	MESH:C423823
(S,S)-Butane-2,3-diol O	Chemical	MESH:D013455
so-Butane-2,3-diol O	Chemical	MESH:C469724
Butane-2,3-diol	Chemical	MESH:C469724
Butanoate O	Chemical	MESH:C095498
Citrate	Chemical	MESH:C102006
Crotonoyl-CoA	Chemical	MESH:C065987
(R)-3-Hydroxy	Chemical	MESH:D006880
butanol	Chemical	MESH:D000440
Acetosce tyl-CoA	Chemical	MESH:D004025
(S)-2-Acetoin	Chemical	MESH:D000093
(R)-2-Acetoin	Chemical	MESH:D000093
Butanol-CoA	Chemical	MESH:D000440
(S)-3-Hydroxy	Chemical	MESH:D013455
butanol	Chemical	MESH:D000440
Pyruvate	Chemical	MESH:D011773
(S)-2-Acetolactate	Chemical	MESH:C006359
Diacetyl	Chemical	MESH:D003931
Glutaconyl	Chemical	MESH:C032423
2-Hydroxy	Chemical	MESH:D006880
Alanine	Chemical	MESH:D000409
aspartate	Chemical	NA
glutamate	Chemical	NA
2-Hydroxy	Chemical	MESH:D006880
(S)-3-Hydroxy	Chemical	MESH:D013455
3-methygluturyl-CoA	Chemical	MESH:C065987
Pyruvate	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
Fatty acid	Chemical	MESH:D005227
