word	mesh	match	name	chebi
4-coumaroyl-4-HPLA	mesh:C001418	3-(4-hydroxyphenyl)lactic acid	4-hydroxyphenyllactic acid	chebi:17385
Phenolic acid	mesh:C017616	NA	NA	NA
Phenolic acids	mesh:C017616	NA	NA	NA
Tanshinone	mesh:C021751	Tanshinone I	tanshinone	chebi:149906
Malic acid	mesh:C030298	NA	NA	NA
Cryptotanshinone	mesh:C037886	Cryptotanshinone	cryptotanshinone	chebi:149838
Rosmarinic acid	mesh:C041376	NA	NA	NA
Catechin Anthocyanin Salvianolic acid B	mesh:D000872	Anthocyanins	anthocyanin	chebi:38697
Asparagine	mesh:D001216	Asparagine	L-asparagine	chebi:17196
Fatty acids	mesh:D005227	Fatty Acids	fatty acid	chebi:35366
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glutamine	mesh:D005973	Glutamine	glutamine	chebi:28300
L-phenylalanine	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
Pyruvate Phenylalanine Tyrosine	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
Proline	mesh:D011392	Proline	L-proline	chebi:17203
Sucrose	mesh:D013395	Sucrose	sucrose	chebi:17992
Threonine	mesh:D013912	Threonine	L-threonine	chebi:16857
L-tyrosine	mesh:D014443	Tyrosine	L-tyrosine	chebi:17895
Pyruvate Phenylalanine Tyrosine	mesh:D014443	Tyrosine	L-tyrosine	chebi:17895
Succinic acid	mesh:D019802	Succinic Acid	succinic acid	chebi:15741
Kaempferol	mesh:D044949	NA	NA	NA
