word	source	identifier
5-Nydroxy	MESH	C068492
tryptophan		
N-Formyl	MESH	C053858
kynurenine	MESH	C029366
Tryptophan		
Kynurenine	MESH	C029366
Kynurenic acid	MESH	D007736
Xanthuric acid	MESH	D000596
Serotonin	MESH	D012701
3-Hydroxykynurenine	MESH	C402223
KYNU		
Anthranilic acid	MESH	C031385
KUNU		
Melatonin	MESH	D008550
3-Hydroxyanthranilinic acid	MESH	C039620
Aminocarboxymuconate		
Quinolinic acid	MESH	D017378
5-hydroxyindole	MESH	C026785
acetic acid	MESH	D019342
Picolinic Acid	MESH	C030614
Glutaryl-CoA	MESH	C015901
NAD	MESH	D009243
Co	MESH	C065987
ATP	MESH	D000255
vitamin B6	MESH	D025101
