word	mesh	match	name	chebi
Pyrimidine	mesh:C030986	NA	NA	NA
UDP	mesh:D014530	Uridine Diphosphate	UDP	chebi:17659
2-deoxyuridine	mesh:D003857	Deoxyuridine	2'-deoxyuridine	chebi:16450
Cytidine	mesh:D003562	Cytidine	cytidine	chebi:17562
Lysine	mesh:C114808	Tyr-Lys	tyrosyl-lysine	chebi:75004
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
glycine	mesh:D005998	Glycine	glycine	chebi:15428
serine	mesh:C047902	NA	NA	NA
D-Glyceraldehyde	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
Uridine	mesh:D014529	Uridine	uridine	chebi:16704
Ribose	mesh:D012266	NA	NA	NA
Thymidine	mesh:D013936	Thymidine	thymidine	chebi:17748
2-oxoglutarate	mesh:C029743	NA	NA	NA
2-deoxycytidine	mesh:D003841	Deoxycytidine	2'-deoxycytidine	chebi:15698
oxaloacetate	mesh:D010071	NA	NA	NA
AMINO	mesh:D000596	NA	NA	NA
ethanolamine	mesh:D004983	Ethanolamines	ethanolamines	chebi:23981
UTP	mesh:D014544	Uridine Triphosphate	UTP	chebi:15713
D-Ribulose-5P	mesh:C100182	NA	NA	NA
CDP	mesh:D003565	Cytidine Diphosphate	CDP	chebi:17239
Phosphatidyl-L-serine	mesh:C067348	NA	NA	NA
beta-D-Fructose	mesh:D005632	Fructose	fructose	chebi:28757
D-Fructose-P	mesh:D005632	Fructose	fructose	chebi:28757
CMP	mesh:D003568	Cytidine Monophosphate	cytidine 5'-monophosphate	chebi:17361
O	mesh:D013481	Superoxides	superoxide	chebi:18421
Bi	mesh:D001729	Bismuth	bismuth atom	chebi:33301
D-glucose 1-phosphate	mesh:C031590	NA	NA	NA
GMP	mesh:C068152	NA	NA	NA
2-Acylin-glycero-3	mesh:C039559	NA	NA	NA
phosphoethanolamine	mesh:C005448	NA	NA	NA
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Adenosine	mesh:D000241	Adenosine	adenosine	chebi:16335
dGDP	mesh:C065276	NA	NA	NA
UDP-N-acetyl-L-alanyi-D	mesh:C053847	NA	NA	NA
UDPN	NA	NA	NA	NA
N-acetylglucosamine	mesh:C014088	NA	NA	NA
AMP	mesh:D000249	adenosine 5'-monophosphate	Adenosine Monophosphate	chebi:16027
UDPN-acetyle-0	mesh:C027727	oxonium	hydronium ion	chebi:29412
ADP	mesh:D000244	NA	NA	NA
CDP-diacyl-glycerol	mesh:C100068	NA	NA	NA
Succinyl	mesh:C035687	NA	NA	NA
Phosphatidylglycerophosphate	mesh:C034358	phosphatidylglycerol phosphate	phosphatidylglycerophosphate	chebi:17264
1,2-Diacyl-sn-glycerol	mesh:C411808	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
alglycine	NA	NA	NA	NA
lipoyl-L-lysine	mesh:C067769	Lipoyllysine	lipoyllysine	chebi:175262
Phosphatidylglycerol	mesh:D010715	Phosphatidylglycerols	phosphatidylglycerol	chebi:17517
nopineloyi-glycine	mesh:D005998	Glycine	glycine	chebi:15428
1-Acyl-an-glycerol	mesh:C032881	1-oleoyl-sn-glycerol 3-phosphate	lysophosphatidic acid	chebi:62837
L-cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
cysteine	mesh:D003545	Cysteine	cysteine	chebi:15356
S-aufenyl	mesh:D013455	Sulfur	polysulfur	chebi:17909
tam	mesh:C113538	NA	NA	NA
Cardiolipin	mesh:D002308	Cardiolipins	cardiolipin	chebi:28494
Acetyl-CoA 3-Oh-Co	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
3C 351-3-cyl-Co	mesh:C024385	NA	NA	NA
meso diminopietat	mesh:C525406	NA	NA	NA
2)-3--Ca(253-cyl-Com	mesh:C024385	NA	NA	NA
Lys	mesh:C026591	NA	NA	NA
DD	mesh:C475339	NA	NA	NA
Glycerone-3P	mesh:C003037	1-palmitoylglycerone 3-phosphate	palmitoyl dihydroxyacetone phosphate	chebi:17868
3-Hydroxybetyryl-Col	mesh:C057112	NA	NA	NA
Glycerone	mesh:C003037	1-palmitoylglycerone 3-phosphate	palmitoyl dihydroxyacetone phosphate	chebi:17868
