word	type	identifier
Glucose	Chemical	MESH:D005947
phosphate	Chemical	MESH:D010710
Oaxaloacetate	Chemical	NA
Pyruvate	Chemical	MESH:D011773
Acetyl-CoA	Chemical	MESH:D000105
Oaxaloacetate	Chemical	NA
Glucose	Chemical	MESH:D005947
Succinate	Chemical	MESH:D013386
Succinil-CoA	Chemical	MESH:C065987
Citrate	Chemical	MESH:C102006
Cis-aconitate	Chemical	MESH:C043607
Isocitrate	Chemical	MESH:D007523
Ribose	Chemical	MESH:D012266
phosphate	Chemical	MESH:D010710
Succinate	Chemical	MESH:D013386
Sugar	Chemical	MESH:D002241
Acetyl-CoA	Chemical	MESH:D000105
Glyoxylate	Chemical	MESH:D006038
Oaxaloacetate	Chemical	NA
Isocitrate Citrate	Chemical	MESH:D007523
Acetyl-CoA	Chemical	MESH:D000105
DOO	Chemical	NA
Acetate	Chemical	MESH:D000085
Acetyl-CoA	Chemical	MESH:D000105
Acyl-CoA	Chemical	MESH:D000214
