word	mesh	match	name	chebi
violaxanthin	mesh:C005613	NA	NA	NA
neoxanthin	mesh:C011947	NA	NA	NA
zeinoxanthin	mesh:C503770	zeinoxanthin	zeinoxanthin	chebi:65244
8-carotene	mesh:D002338	Carotenoids	carotenoid	chebi:23044
B-carotene	mesh:D002338	Carotenoids	carotenoid	chebi:23044
carotene	mesh:D002338	Carotenoids	carotenoid	chebi:23044
hydroxy 8-carotene	mesh:D002338	Carotenoids	carotenoid	chebi:23044
lutein	mesh:D014975	Lutein	lutein	chebi:28838
zeaxanthin	mesh:D065146	NA	NA	NA
cryptoxanthin	mesh:D065366	Cryptoxanthins	beta-cryptoxanthin	chebi:10362
