word	type	identifier
Alzheimers diseases	Disease	MESH:D000544
Parkinsons disease	Disease	MESH:D010300
Multiple Sclerosis  Amyotrophic Lateral Sclerosis	Disease	MESH:D000690
Renal diseases	Disease	MESH:D007674
Acute Kidney Injuries	Disease	MESH:D058186
Sepsis	Disease	MESH:D018805
tumor	Disease	MESH:D009369
respiratory distress syndrome	Disease	MESH:D012128
Sepsis inflammatory associated disorder	Disease	MESH:D018805
Chronic obstructive pulmonary disease	Disease	MESH:D029424
Idiopathic pulmonary fibrosis	Disease	MESH:D054990
Cancer disease	Disease	MESH:D009369
Breast cancer	Disease	MESH:D001943
Pancreatic cancer	Disease	MESH:D010190
Ovary cancer	Disease	MESH:D010051
Glioma cancer	Disease	MESH:D005910
Colorectal cancer	Disease	MESH:D015179
Lung cancer	Disease	MESH:D008175
Liver cancer	Disease	MESH:D006528
Gastric cancer	Disease	MESH:D013274
cancer	Disease	MESH:D009369
Heart failure	Disease	MESH:D006333
Myocardial Injury  Atherosclerosis  Ischemic neural injury	Disease	MESH:D003324
Hepatic diseases	Disease	MESH:D056486
Liver injuries	Disease	MESH:D056486
Chronic Liver Injuries	Disease	MESH:D056487
Hepatic fibrosis	Disease	MESH:D008103
Psoriasis	Disease	MESH:D011565
Rheumatoid arthritis	Disease	MESH:D001172
Autoimmune diseases	Disease	MESH:D001327
