word	mesh	match	name	doid
Bladder cancer	mesh:D001749	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Ovarian cancer	mesh:D010051	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Intrahepatic bile duct carcinoma	mesh:D002780	NA	NA	NA
Breast cancer	mesh:D001943	NA	NA	NA
Cholangiocarcinoma	mesh:D018281	NA	NA	NA
Colorectal cancer	mesh:D015179	NA	NA	NA
melanoma	mesh:D008545	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
Esophageal squamous	mesh:D000077277	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
thyroid carcinoma	mesh:D013964	NA	NA	NA
Neuroblastoma	mesh:D009447	NA	NA	NA
Colorectal cancer	mesh:D015179	NA	NA	NA
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
