word	source	identifier
L-aspartyl phosphate	MESH	C080396
L-dihydrodipicolinate	MESH	C025076
aspartate		
L-tetrahydrodipicolinate	MESH	C025076
L-THDP	MESH	C025076
L-aspartate semialdehyde		
N-acyl-L-2-amino-6-ketopimelate	MESH	C018821
N-acyl-L,L-2,6-diaminopimelate	MESH	D000214
L-2,6-diaminopimelate	MESH	C110965
meso-diaminopimelate	MESH	C110965
LysA	MESH	C026591
L-lysine	MESH	C114808
GleNAC-MurNAc	MESH	C031651
Alanine	MESH	D000409
Glutamate		
Lys D-Alanine	MESH	C026591
2-oxoglutarate	MESH	C029743
D-Alanine	MESH	D000409
D-Glutamate		
L-Alanine	MESH	D000409
GlcNAc-MurNAc	MESH	C097320
