word	mesh	match	name	doid
Brain Injury	mesh:D001927	NA	NA	NA
SARS-CoV-2	mesh:C000657245	NA	NA	NA
RAAS	mesh:C535612	NA	NA	NA
SIRS	NA	NA	NA	NA
Pulmonary Edema	mesh:D011654	NA	NA	NA
Alveolar gas exchange disorder	mesh:D011007	NA	NA	NA
Nephron of Kidney	mesh:D007674	NA	NA	NA
Hypoxia	mesh:D000860	NA	NA	NA
Myocardial injury	mesh:D009202	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
Cerebral edema	mesh:D001929	NA	NA	NA
Ischemia	mesh:D007511	NA	NA	NA
Heart injury	mesh:D006335	NA	NA	NA
Brain injury	mesh:D001927	NA	NA	NA
