word	source	identifier
3-Phosphoglycerate	MESH	C005156
2-Phosphoglycerate	MESH	C008885
3-Phosphohydroxypyruvate	MESH	C012488
Ribulose	MESH	C100182
Ribulose 5phonphate	MESH	C100182
6phosphogluconolactone	MESH	C114004
Deoxyribose	MESH	D003855
Dihydroxyacetone	MESH	D004098
Bisphosphoglycerate	MESH	D004163
Fructose	MESH	D005632
Fumarate	MESH	D005650
Glucose	MESH	D005947
Glutamine	MESH	D005973
Glyceraldehyde	MESH	D005985
Glycine	MESH	D005998
Isocitrate	MESH	D007523
Oxaloacetate	MESH	D010071
3-phosphate	MESH	D010710
4phosphate	MESH	D010710
5-Phosphate	MESH	D010710
6-phosphate	MESH	D010710
6phosphate	MESH	D010710
phosphate	MESH	D010710
Phosphoenolpyruvate	MESH	D010728
purine	MESH	D011687
Pyruvate	MESH	D011773
Ribose	MESH	D012266
Ribose-5phonphate	MESH	D012266
Serine	MESH	D012694
Succinate	MESH	D013386
Glutamate	MESH	D018698
