word	mesh	match	name	chebi
Glyceraldehyde 3-phosphate	mesh:D005986	Glyceraldehyde 3-Phosphate	glyceraldehyde 3-phosphate	chebi:17138
L-N2-(2-Carboxyethyl)arginine	NA	NA	NA	NA
Deoxyguanidinoproclavaminic acid	mesh:D000596	NA	NA	NA
L-Arginine	NA	NA	NA	NA
Proclavaminic acid	mesh:C066045	NA	NA	NA
Guanidinoproclavaminic acid	mesh:D000596	NA	NA	NA
Dihydro-clavaminic acid	mesh:C042254	NA	NA	NA
Clavaminic acid	mesh:D000596	NA	NA	NA
N-glycyl-clavaminic acid Clavulanate-9-aldehyde	mesh:D019818	NA	NA	NA
Clavulanic acid	mesh:D019818	NA	NA	NA
