word	source	identifier
anthranilic acid	MESH	C031385
L-tryptophan		
L-TRP	MESH	C020947
L-kynurenine	MESH	C029366
L-KYN	MESH	C105630
kynureninose		
TDOZ		
indoleomine		
quinolnic		
NAD	MESH	D009243
kynurenine Jmonoonygenose	MESH	C029366
kynureninoe		
3-hydroxykynurenine	MESH	C402223
3-hydroxyanthranilic acid	MESH	D015095
3-HANA	MESH	C070326
quinolinic acid	MESH	D017378
QUIN	MESH	C113610
kynurenine	MESH	C029366
kynurenine ominotroneferose	MESH	C029366
kynurenine ominotroferose	MESH	C029366
xanthommatin	MESH	C002866
kynurenic acid	MESH	D007736
KYNA	MESH	C548511
N-formylkynurenine	MESH	D009584
amino-3-carboxymuconic-6-semialdehyde	MESH	C009338
ACMS	MESH	C059117
