word	mesh	match	name	doid
MAP-ICP	mesh:D019586	NA	NA	NA
Cerebral glucose	mesh:D002543	NA	NA	NA
MD	mesh:D009436	Neural Tube Defects	neural tube defect	doid:0080074
TCD	mesh:D015794	NA	NA	NA
hypoxia	mesh:D000860	NA	NA	NA
Hyperthermia	mesh:D005334	NA	NA	NA
Seizures	mesh:D012640	NA	NA	NA
Mitochondrial failure	mesh:D028361	NA	NA	NA
hypotension	mesh:D007022	NA	NA	NA
hypertension	mesh:D006973	NA	NA	NA
Microvascular thrombosis	mesh:D013927	NA	NA	NA
hypoglycemia	mesh:D007003	NA	NA	NA
hyperglycemia	mesh:D006943	NA	NA	NA
