word	type	identifier
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Pyruvate	Chemical	MESH:D011773
Acetyl	Chemical	MESH:C011632
Lactate	Chemical	MESH:D019344
TCA	Chemical	MESH:C000589078
ATP	Chemical	MESH:D000255
acyl-CoA	Chemical	MESH:D000214
Acyl-CoA	Chemical	MESH:D000214
acyl-CoA	Chemical	MESH:D000214
NADH	Chemical	MESH:D009243
NADH NAD	Chemical	MESH:D009243
ATP	Chemical	MESH:D000255
FAD	Chemical	MESH:D005182
ADP	Chemical	MESH:D000244
GSH	Chemical	MESH:D005978
ATP	Chemical	MESH:D000255
GSSO	Chemical	NA
ADP	Chemical	MESH:D000244
Ca2+	Chemical	MESH:D002118
MPTP	Chemical	MESH:D015632
2H20+02	Chemical	MESH:C553544
H2O2	Chemical	MESH:D014867
PH2O IMS	Chemical	MESH:C003800
