word	mesh	match	name	doid
Glucose  Glucose	mesh:D018149	NA	NA	NA
Glucose Fructose	mesh:D018149	NA	NA	NA
Glucose Fructose	mesh:D018149	NA	NA	NA
Fructose16-2P Fructose-1-P	mesh:C538318	NA	NA	NA
Fructose Glucose	mesh:D018149	NA	NA	NA
Glucose Fructose  Glucose	mesh:D018149	NA	NA	NA
Glucose  Glucose homeostasis	mesh:D018149	NA	NA	NA
Glucose  Glucose Fructose	mesh:D018149	NA	NA	NA
Non-alcoholic fatty liver disease	mesh:D065626	Non-alcoholic Fatty Liver Disease	non-alcoholic fatty liver disease	doid:0080208
Mitochondrial dysfunction	mesh:D028361	NA	NA	NA
Glucose  Glucose	mesh:D018149	NA	NA	NA
Glucose homeostasis	mesh:D018149	NA	NA	NA
Glucose  Glucose	mesh:D018149	NA	NA	NA
Diabetes type 2	mesh:D003924	NA	NA	NA
Anabolic insulin	mesh:D007333	NA	NA	NA
Glucose  Vascular damage	mesh:D000783	NA	NA	NA
nephropathy	mesh:D007674	NA	NA	NA
