word	mesh	match	name	chebi
Glycyrrhetinic acid	mesh:D006034	Glycyrrhetinic Acid	glycyrrhetinic acid	chebi:30853
3-O-glucuronide	mesh:D020719	NA	NA	NA
Glycyrrhizin	mesh:D019695	Glycyrrhizic Acid	glycyrrhizinic acid	chebi:15939
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
FPP	mesh:C039834	NA	NA	NA
B-Amyrin	mesh:C036380	beta-amyrin	beta-amyrin	chebi:10352
Sugar	mesh:D002241	Carbohydrates	carbohydrate	chebi:16646
UDP	mesh:D014530	Uridine Diphosphate	UDP	chebi:17659
Glc	mesh:C105508	NA	NA	NA
UDP-GICA	mesh:D014530	Uridine Diphosphate	UDP	chebi:17659
