word	type	identifier
PUFA	Chemical	MESH:D015525
PUFA	Chemical	MESH:D015525
PUFA	Chemical	MESH:D015525
Acetyl-CoA	Chemical	MESH:D000105
TCA	Chemical	MESH:C000589078
glutamylcysteine	Chemical	MESH:C017341
Glu	Chemical	MESH:C094686
Glutamate	Chemical	NA
Cystine	Chemical	MESH:D003553
Cysteine	Chemical	MESH:D003545
Glutathione	Chemical	MESH:D005978
Glu	Chemical	MESH:C094686
Cys	Chemical	MESH:C046557
GSH	Chemical	MESH:D005978
GSSG	Chemical	MESH:D019803
Glu	Chemical	MESH:C094686
Glu	Chemical	MESH:C094686
Glu	Chemical	MESH:C094686
Glu	Chemical	MESH:C094686
Glu	Chemical	MESH:C094686
PUFA-OOH	Chemical	MESH:D015525
PUFA-OH	Chemical	MESH:D015525
