word	type	identifier
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
AMP	Chemical	MESH:D000249
leucine	Chemical	MESH:C038361
Fatty Acids	Chemical	MESH:D005227
NAD	Chemical	MESH:D009243
NADPH	Chemical	MESH:D009249
Acetyl-CoA	Chemical	MESH:D000105
carboxylic	Chemical	MESH:D002264
TCA	Chemical	MESH:C000589078
Glutamate	Chemical	NA
leucine	Chemical	MESH:C038361
Acetoacetat	Chemical	NA
3-methylcrotonyl	Chemical	MESH:C033618
3-Methoscrotonyl	Chemical	MESH:C039620
isoleucine	Chemical	MESH:C043801
Isovaleryl-CoA 2-methylbutyryl-CoA Isobutyryl-CoA	Chemical	MESH:C050106
3-methylglutaconyl	Chemical	MESH:C039620
3-hydroxy-3	Chemical	MESH:D006880
methylglutaryl	Chemical	MESH:C008047
figlyl	Chemical	NA
valine	Chemical	MESH:C521924
Acetyl-CoA	Chemical	MESH:D000105
Tricarboxylic acid	Chemical	MESH:D014233
TCA	Chemical	MESH:C000589078
methyl-acrylyl	Chemical	MESH:C047011
2-methyl-3	Chemical	MESH:C031105
hydroxybutyryl	Chemical	MESH:C074884
3-hydroxy-isobutyrate	Chemical	MESH:D058610
2-methyl-acetoacetyl	Chemical	MESH:C010667
3-hydroxy-isobutyryl	Chemical	MESH:C050106
methylmalonate semialdehyde	Chemical	MESH:C009338
Propionyl-CoA	Chemical	MESH:C009061
Succinyl-CoA	Chemical	MESH:C012046
