word	mesh	match	name	chebi
Arachidonic acid	mesh:D001095	NA	NA	NA
Dihomo-a-linolenic acid	mesh:D015126	8,11,14-Eicosatrienoic Acid	all-cis-icosa-8,11,14-trienoic acid	chebi:53486
Bile acid	mesh:D001647	NA	NA	NA
Oxohexadecanoic acid	mesh:C531078	NA	NA	NA
3-Sulfodeoxycholic acid	mesh:C045047	3-Sulfodeoxycholic acid	3-sulfodeoxycholic acid	chebi:88888
Oxooctadecanoic acid	mesh:C098204	12-oxo-octadecanoic acid	12-oxooctadecanoic acid	chebi:179232
15(S)-HETTE	mesh:C009156	NA	NA	NA
2-Hydroxymyristic acid	mesh:C017418	NA	NA	NA
15-HEPE	mesh:C059164	15-HEPE	15-hydroxy-5,8,11,13,17-eicosapentaenoic acid	chebi:72627
Docosapentaenoic acid	mesh:C026219	NA	NA	NA
9Z-Eicosenoic acid	mesh:C572289	(11Z)-icos-11-enoic acid	eicosenoic acid	chebi:32425
Tryptophan	NA	NA	NA	NA
Dihomolinoleic acid	mesh:D000596	NA	NA	NA
Serotonin	mesh:D012701	Serotonin	serotonin	chebi:28790
Indoleamine	NA	NA	NA	NA
Kynurenine	mesh:C029366	NA	NA	NA
