word	mesh	match	name	chebi
phenylalanine	mesh:C119108	Leu-Phe	leucyl-phenylalanine	chebi:73585
cinnamic acid	mesh:C029010	NA	NA	NA
p-coumaric	mesh:C032171	NA	NA	NA
cinnamic acid cinnamoyl	mesh:C029010	NA	NA	NA
cinnamoyl	mesh:C037551	NA	NA	NA
p-coumaroyl-CoA	mesh:C058644	NA	NA	NA
3H3PP-COA	mesh:C479798	NA	NA	NA
3H3PP-COA	mesh:C479798	NA	NA	NA
benzaldehyde	mesh:D001547	Benzaldehydes	benzaldehydes	chebi:22698
phenylpropanoids	mesh:C520402	NA	NA	NA
eugenol	mesh:D005054	Eugenol	eugenol	chebi:4917
salicylaldehyde	mesh:C013243	NA	NA	NA
benzylalcohol	NA	NA	NA	NA
benzoyl-CoA benzoic acid	mesh:C037817	benzoyl-CoA	benzoyl-coenzyme A	chebi:15515
benzoyl	mesh:C033901	3'-O-(4-Benzoyl)benzoyl ATP	3'-O-(4-benzoyl)benzoyladenosine 5'-triphosphate	chebi:34316
benzyl benzoate	mesh:C006723	benzyl benzoate	benzyl benzoate	chebi:41237
salicin	mesh:C005696	salicin	salicin	chebi:17814
benzoic acid	mesh:D019817	benzoic acid	Benzoic Acid	chebi:30746
salicylic acid	mesh:D020156	NA	NA	NA
methyl	mesh:C031105	NA	NA	NA
salicylate	mesh:D012459	Salicylates	salicylates	chebi:26596
salicinoids	NA	NA	NA	NA
salicortin	mesh:C113068	salicortin	salicortin	chebi:137501
