word	type	identifier
phenylalanine---- cinnamic acid-p-coumaric	Chemical	MESH:C032171
p-coumaroyl C3H	Chemical	MESH:C540136
p-coumaroyl-CoA shikimic acid	Chemical	MESH:D012765
quinic acid	Chemical	MESH:D011801
p-coumaraldehyde	Chemical	MESH:C117045
coumaryl alcohol	Chemical	MESH:C495469
Hydroxyphenyl	Chemical	MESH:C497826
phenylalanine	Chemical	MESH:C119108
cinnamic acid---p-coumaric acid	Chemical	MESH:C032171
p-coumaroyl-CoA	Chemical	MESH:C058644
coumaraldehyde	Chemical	MESH:C117045
coumaryl alcohol	Chemical	MESH:C495469
Hydroxyphenyl	Chemical	MESH:C497826
phenylalanine cinnamic acid p-coumaric acid	Chemical	MESH:C032171
p-coumaroyl-CoA	Chemical	MESH:C058644
p-coumaraldehyde	Chemical	MESH:C117045
coumaryl alcohol	Chemical	MESH:C495469
Hydroxyphenyl	Chemical	MESH:C497826
caffeoyl shikimic acid	Chemical	MESH:D012765
quinic acid	Chemical	MESH:D011801
caffeoyl	Chemical	MESH:C058645
5-hydroxy	Chemical	MESH:D006880
feruloyl-CoA coniferaldehyde	Chemical	MESH:C075384
coniferaldehyde	Chemical	MESH:C075384
p-coumaroyl C3H	Chemical	MESH:C540136
conifery alcohol	Chemical	MESH:D000431
Guaiacyl	Chemical	MESH:C434470
caffeoyl-CoA	Chemical	MESH:C058645
coniferaldehyde	Chemical	MESH:C075384
p-coumaroyl C3H	Chemical	MESH:C540136
conifery alcohol	Chemical	MESH:D000431
Guaiacyl lignin	Chemical	MESH:D008031
caffeoyl shikimic acid	Chemical	MESH:D012765
quinic acid	Chemical	MESH:D011801
quinic acid	Chemical	MESH:D011801
5-hydroxy	Chemical	MESH:D006880
feruloyl-CoA coniferaldehyde	Chemical	MESH:C075384
coniferaldehyde	Chemical	MESH:C075384
alcohol	Chemical	MESH:D000431
Guaiacyl	Chemical	MESH:C434470
5-hydroxy	Chemical	MESH:D006880
feruloyl-CoA coniferaldehyde	Chemical	MESH:C075384
caffeoyl shikimic acid	Chemical	MESH:D012765
quinic acid	Chemical	MESH:D011801
quinic acid	Chemical	MESH:D011801
caffeoyl	Chemical	MESH:C058645
sinapaldehyde	Chemical	MESH:C075386
alcohol	Chemical	MESH:D000431
Syringyl	Chemical	MESH:C434469
sinapaldehyde	Chemical	MESH:C075386
alcohol	Chemical	MESH:D000431
Syringyl	Chemical	MESH:C434469
sinapaldehyde	Chemical	MESH:C075386
alcohol	Chemical	MESH:D000431
Syringyl	Chemical	MESH:C434469
