word	mesh	match	name	chebi
2-Phosphoglycerate	mesh:C008885	NA	NA	NA
Ribulose-5-P	mesh:C100182	NA	NA	NA
acetone	mesh:D000096	Acetone	acetone	chebi:15347
Aspartate	mesh:D001224	NA	NA	NA
Fructose-1,6-BP	mesh:D005632	Fructose	fructose	chebi:28757
Fructose-6-P	mesh:D005632	Fructose	fructose	chebi:28757
6-P-gluconate	mesh:D005942	Gluconates	gluconates	chebi:33804
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glucose-6-P	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Glutamine	mesh:D005973	Glutamine	glutamine	chebi:28300
Glyceraldehyde-3-P	mesh:D005985	Glyceraldehyde	glyceraldehyde	chebi:5445
Hexosamine	mesh:D006595	Hexosamines	hexosamine	chebi:24586
lactone	mesh:D007783	Lactones	lactone	chebi:25000
Oxaloacetate	mesh:D010071	NA	NA	NA
Phosphate	mesh:D010710	NA	NA	NA
Phosphoenolpyruvate	mesh:D010728	Phosphoenolpyruvate	phosphoenolpyruvate	chebi:18021
Pyruvate	mesh:D011773	NA	NA	NA
Ribose-5-P	mesh:D012266	NA	NA	NA
UDP	mesh:D014530	Uridine Diphosphate	UDP	chebi:17659
Glutamate	mesh:D018698	NA	NA	NA
Lactate	mesh:D019344	NA	NA	NA
