word	type	identifier
Glutamate	Chemical	NA
GABA	Chemical	MESH:D005680
Glutamate	Chemical	NA
GABA	Chemical	MESH:D005680
Arginine	Chemical	MESH:D001127
Arginine	Chemical	MESH:D001127
Ornithine	Chemical	MESH:C008973
Ornithine	Chemical	MESH:C008973
Carbamoyl	Chemical	MESH:D002221
ADP	Chemical	MESH:D000244
ATP	Chemical	MESH:D000255
Glutamate	Chemical	NA
Putrecine Agmatine	Chemical	MESH:D000376
N-acetylglutamate	Chemical	MESH:D009584
Putrescine Agmatine	Chemical	MESH:D011700
N-acetylglutamate	Chemical	MESH:D009584
semialdehyde	Chemical	MESH:C009338
Carbamoyl	Chemical	MESH:D002221
putrescine	Chemical	MESH:D011700
L-arginine	Chemical	NA
ArgH	Chemical	MESH:C076685
ArgB	Chemical	MESH:C076685
N-acetylglutamate	Chemical	MESH:D009584
N2-acetylornithine	Chemical	MESH:D009584
ArgG	Chemical	MESH:C076685
ArgF	Chemical	MESH:C076685
Arginosuccinate	Chemical	NA
Arginine	Chemical	MESH:D001127
Ornithine	Chemical	MESH:C008973
ArgE	Chemical	MESH:C076685
