word	source	identifier
Glucose	MESH	D005947
Trehalose	MESH	D014199
6-P-glucono	MESH	C106477
lactone	MESH	D007783
quinate	MESH	D011801
Tryptophan		
1,3-dimethyuracil	MESH	C401229
Tyrosine		
Pyruvate	MESH	D011773
Leucine	MESH	C038361
Phenylalanine	MESH	C119108
Trichothecene	MESH	D014255
Aspartate		
Oxaloacetate	MESH	D010071
Citrate	MESH	C102006
Isocitrate	MESH	D007523
Glutamine	MESH	C578860
TCA	MESH	C000589078
Ornithine	MESH	C008973
Fumarate	MESH	D005650
Glutamate		
amino acid	MESH	D000596
Succinate	MESH	D013386
semialdehyde	MESH	C009338
GABA	MESH	D005680
NAD	MESH	D009243
Succinate semialdehyde	MESH	D013386
sugar	MESH	D002241
NADH	MESH	D009243
maltose	MESH	D008320
hexose	MESH	D006601
