word	source	identifier
Galactose	MESH	D005690
Pentose phosphate	MESH	D010429
glycerol	MESH	D005990
glucono-1,5-lactone	MESH	C106477
galactonate		
galactose	MESH	D005690
ribose-ribose	MESH	D012266
myo-inositol	MESH	C572459
Glycine	MESH	D005998
serine	MESH	C047902
threonine	MESH	C061951
phosphoserine	MESH	C054334
Fatty acid	MESH	D005227
alothreonine		
glycine	MESH	D005998
octadecanoic acid	MESH	D013229
octadecenoic acid	MESH	C114874
dodecanoic acid	MESH	D007850
octanoic acid	MESH	C031492
Pantothenate	MESH	D010205
CoA	MESH	C065987
oxobutanoate	MESH	C005087
valine	MESH	C521924
Pyrimidine	MESH	C030986
dihydrouracil	MESH	C007419
pantothenate -5,6-dihydrouracil	MESH	C007419
alanine	MESH	D000409
acetyl-CoA	MESH	D000105
uridine	MESH	D014529
carbamoyl-aspartate		
pxaloacetate		
citrate	MESH	C102006
Alanine	MESH	D000409
aspartate		
glutamate		
isocitrate	MESH	D007523
malate	MESH	D008293
asparagine aspartate		
Nicotinate	MESH	D009525
nicotinamide	MESH	D009536
fumarate	MESH	D005650
alpha-ketoglutarate	MESH	C029743
nicqtinate		
quinolinate	MESH	D017378
nicotinurate		
nicotine	MESH	D009538
succinate	MESH	D013386
succinyl-CoA	MESH	C012046
methylmalonate hydroxybutanoate	MESH	C003182
propanoyl phosphate-oxobutanoate	MESH	C005087
