word	type	identifier
L-arginine	Chemical	NA
OOMe	Chemical	MESH:C442368
Fe2	Chemical	MESH:D007501
PLP	Chemical	MESH:C094765
ATP	Chemical	MESH:D000255
Mg2+	Chemical	MESH:D008274
heme	Chemical	MESH:D006418
N	Chemical	MESH:D009584
PLP	Chemical	MESH:C094765
ketoglutarate iron	Chemical	MESH:C029743
O	Chemical	MESH:D013481
PLP	Chemical	MESH:C094765
N	Chemical	MESH:D009584
ANH NH	Chemical	MESH:C038286
Fe2	Chemical	MESH:D007501
ketoglutarate HN	Chemical	MESH:C029743
L-ascorbate	Chemical	MESH:D001205
NADPH	Chemical	MESH:D009249
ANH NH	Chemical	MESH:C038286
threonine	Chemical	MESH:C061951
PLP	Chemical	MESH:C094765
HN	Chemical	MESH:C009802
PLP	Chemical	MESH:C094765
Glu	Chemical	MESH:C094686
