word	mesh	match	name	chebi
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
TFructose	NA	NA	NA	NA
Fructose	mesh:D005632	Fructose	fructose	chebi:28757
Pentose	mesh:D010429	Pentoses	pentose	chebi:25901
phosphate	mesh:D010710	NA	NA	NA
DHAP	mesh:C017202	NA	NA	NA
NADP	mesh:D009249	NA	NA	NA
Palmitate	mesh:D010168	NA	NA	NA
NADPH	mesh:D009249	NA	NA	NA
Malonyl	mesh:D008316	Malonyl Coenzyme A	malonyl-CoA	chebi:15531
Acetyl	mesh:C011632	NA	NA	NA
Lactate	mesh:D019344	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
Citrate	mesh:C102006	NA	NA	NA
Alanine	mesh:D000409	Alanine	alanine	chebi:16449
Oxaloacetate	mesh:D010071	NA	NA	NA
Acyl	mesh:D000214	NA	NA	NA
FADH	mesh:C058805	FADH2	1,5-dihydro-FAD	chebi:17877
NADH	mesh:D009243	NAD	NAD(+)	chebi:15846
TCA	mesh:C000589078	NA	NA	NA
FAD	mesh:D005182	Flavin-Adenine Dinucleotide	FAD	chebi:16238
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
Glutathione	mesh:D005978	Glutathione	glutathione	chebi:16856
ADP	mesh:D000244	NA	NA	NA
Gututhione	NA	NA	NA	NA
GSH	mesh:D005978	Glutathione	glutathione	chebi:16856
ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
SADP	mesh:C033169	NA	NA	NA
Pyruvate ATP	mesh:D000255	Adenosine Triphosphate	ATP	chebi:15422
Malonyl CoA	mesh:D008316	Malonyl Coenzyme A	malonyl-CoA	chebi:15531
Ho	mesh:D006695	Holmium	holmium atom	chebi:49648
