word	mesh	match	name	doid
diabeticaor	NA	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
Hypertrophic ordampy	mesh:D006984	NA	NA	NA
Rheumatoid art	mesh:C535388	Arts syndrome	Arts syndrome	doid:0050647
CM	mesh:D009202	NA	NA	NA
Chagas disease	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
typanosomas	NA	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Malaria	mesh:D008288	NA	NA	NA
diabetic	mesh:D003920	NA	NA	NA
Hypertrophy	mesh:D006984	NA	NA	NA
T-cell leukemia  infection	mesh:D015458	NA	NA	NA
Pancreatic canc	mesh:D010195	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
