word	source	identifier
3-phosphoglycerate	MESH	C005156
2-phosphoglycerate	MESH	C008885
Succinyl-CoA	MESH	C012046
Fructose 6-Phosphate	MESH	C027618
Glycerol-3-Phosphate	MESH	C029620
Acetate	MESH	D000085
Acyl-CoA	MESH	D000214
Dihydroxyacetone	MESH	D004098
Fructose 1,6-bisphophate	MESH	D005632
Fumarate	MESH	D005650
GLucose	MESH	D005947
Glyceraldehyde	MESH	D005985
glyoxylate	MESH	D006038
Isocitrate	MESH	D007523
Malonyl-CoA	MESH	D008316
Oxaloacetate	MESH	D010071
3-Phosphate	MESH	D010710
Phosphate	MESH	D010710
phosphate	MESH	D010710
Phosphoenolpyruvate	MESH	D010728
Pyruvate	MESH	D011773
Succinate	MESH	D013386
Glucose 6-Phosphate	MESH	D019298
