word	mesh	match	name	chebi
Glucose	mesh:D005947	Glucose	D-glucopyranose	chebi:4167
Serine	mesh:C047902	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
O	mesh:D013481	Superoxides	superoxide	chebi:18421
Folate	mesh:D005492	Folic Acid	folic acid	chebi:27470
Methionine	mesh:D008715	NA	NA	NA
Acetyl-CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
NAD	mesh:D009243	NAD	NAD(+)	chebi:15846
O-GICNAC  Me1-3  Me1-3	mesh:C526611	NA	NA	NA
Ac	mesh:D000186	Actinium	actinium atom	chebi:33337
Ac  Me  Hexosamine	mesh:D006595	Hexosamines	hexosamine	chebi:24586
