word	type	identifier
Acetyl-CoA	Chemical	MESH:D000105
Squalene	Chemical	MESH:D013185
Famesyl pyrophosphate	Chemical	MESH:D011756
3-Hydroxy-3-methyl	Chemical	MESH:C031105
Geranyl	Chemical	MESH:C031049
2,3-oxidosqualene	Chemical	MESH:C002821
Co-A	Chemical	MESH:C065987
Lanosterol	Chemical	MESH:D007810
trienol	Chemical	MESH:C114832
Ergosterol	Chemical	MESH:D004875
Mevalonate	Chemical	MESH:D008798
Isopentenyl	Chemical	MESH:C004809
C4-Lanosterol	Chemical	MESH:D007810
Zimasterol	Chemical	NA
Cholesterol	Chemical	MESH:D002784
