word	mesh	match	name	doid
cancer	mesh:D009369	NA	NA	NA
infection	mesh:D007239	NA	NA	NA
Cushing syndrome	mesh:D003480	NA	NA	NA
papillomavirus infection	mesh:D030361	NA	NA	NA
Small cell lung cancer	mesh:D055752	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Gastric cancer	mesh:D013274	NA	NA	NA
Hepatocellular carcinoma	mesh:D006528	NA	NA	NA
Inflammatory bowel disease	mesh:D015212	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Pancreatic cancer	mesh:D010190	NA	NA	NA
Viral myocarditis	mesh:D009205	NA	NA	NA
atherosclerosis	mesh:D050197	NA	NA	NA
diabetic complications  Dilatedordiomyopathy	mesh:D003925	NA	NA	NA
DCM	mesh:D002311	NA	NA	NA
Hypertrophic cardiomyopathy	mesh:D002312	NA	NA	NA
Toxoplasmosis  Tuberculosis  Complement	mesh:D014123	NA	NA	NA
Leishmaniasis  Malaria	mesh:D008288	NA	NA	NA
