word	mesh	match	name	doid
Chronic obstructive pulmonary disease	mesh:D029424	NA	NA	NA
COPD	mesh:D029424	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
Corona virus disease 2019	mesh:C000657245	NA	NA	NA
COVID-19	mesh:C000657245	NA	NA	NA
Lewis lung cancer	mesh:D018827	NA	NA	NA
Small cell lung cancer	mesh:D055752	NA	NA	NA
SCLC	mesh:D018288	Carcinoma, Small Cell	small cell carcinoma	doid:0050685
Hepatocellular carcinoma	mesh:D006528	NA	NA	NA
Alcoholic liver disease	mesh:D008108	NA	NA	NA
ALD	mesh:D000326	NA	NA	NA
Non-alcoholic fatty liver disease	mesh:D065626	Non-alcoholic Fatty Liver Disease	non-alcoholic fatty liver disease	doid:0080208
Viral hepatitis	mesh:D006525	NA	NA	NA
autoimmune disease	mesh:D001327	Autoimmune Diseases	autoimmune hypersensitivity disease	doid:417
Alcardi-Goutieres syndrome	mesh:C535607	Aicardi-Goutieres syndrome	Aicardi-Goutieres syndrome	doid:0050629
AGS	mesh:C535607	Aicardi-Goutieres syndrome	Aicardi-Goutieres syndrome	doid:0050629
immunodeficiency syndrome	mesh:D007153	NA	NA	NA
AIDS	mesh:D000163	NA	NA	NA
lupus erythematosus	mesh:D008180	NA	NA	NA
SLE	mesh:D008180	NA	NA	NA
colitis	mesh:D003092	NA	NA	NA
Crohns disease	mesh:D003424	NA	NA	NA
CD	mesh:D006223	NA	NA	NA
Graft versus host disease	mesh:D006086	NA	NA	NA
GVHD	mesh:D006086	NA	NA	NA
Colon cancer	mesh:D015179	NA	NA	NA
Melanoma	mesh:D008545	NA	NA	NA
Skin cancer	mesh:D012878	NA	NA	NA
inflammatory arthritis	mesh:D001168	NA	NA	NA
Juvenile idiopathic arthritis	mesh:D001171	NA	NA	NA
Alzheimers disease	mesh:D000544	NA	NA	NA
AD	mesh:D000544	NA	NA	NA
Parkinson disease	mesh:D010300	NA	NA	NA
PD	mesh:D010300	NA	NA	NA
Amyotrophic lateral sclerosis	mesh:D000690	Amyotrophic Lateral Sclerosis	amyotrophic lateral sclerosis-parkinsonism/dementia complex 1	doid:0111246
ALS	mesh:C565957	Amyotrophic Lateral Sclerosis 2, Juvenile	amyotrophic lateral sclerosis type 2	doid:0060194
Multiple sclerosis	mesh:D009103	NA	NA	NA
MS	mesh:D009103	NA	NA	NA
Huntingtons disease	mesh:D006816	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
Ataxia telangiectasia	mesh:D001260	NA	NA	NA
AT	NA	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
Acute kidney injury	mesh:D058186	NA	NA	NA
Chronic kidney disease	mesh:D051436	NA	NA	NA
CKD	mesh:D012080	NA	NA	NA
Lupus nephritis	mesh:D008181	NA	NA	NA
renal disease	mesh:D007674	NA	NA	NA
LN-ESRD	mesh:D007676	NA	NA	NA
vasculopathy	mesh:D020144	NA	NA	NA
