word	type	identifier
NADH	Chemical	MESH:D009243
CO2	Chemical	MESH:D002245
Fructose	Chemical	MESH:D005632
Pyruvate	Chemical	MESH:D011773
NADH	Chemical	MESH:D009243
ATP	Chemical	MESH:D000255
Acetyl	Chemical	MESH:C011632
NADH	Chemical	MESH:D009243
NADH	Chemical	MESH:D009243
Acetaldehyde	Chemical	MESH:D000079
Acetyl	Chemical	MESH:C011632
NADH	Chemical	MESH:D009243
Ethanol	Chemical	MESH:D000431
ATP	Chemical	MESH:D000255
NADH	Chemical	MESH:D009243
ATP	Chemical	MESH:D000255
ATP	Chemical	MESH:D000255
Na	Chemical	MESH:D012964
Na	Chemical	MESH:D012964
