word	type	identifier
NADP	Chemical	MESH:D009249
NADP	Chemical	MESH:D009249
NADPH	Chemical	MESH:D009249
ATP	Chemical	MESH:D000255
AMP	Chemical	MESH:D000249
adenine	Chemical	MESH:D000225
NADPH	Chemical	MESH:D009249
6-phosphate D-glucono-1,5-lactone	Chemical	MESH:C106477
D-gluconate 6-phosphate	Chemical	MESH:C008884
Purine	Chemical	MESH:D011687
D-ribulose 5-phosphate	Chemical	MESH:C031524
Glucose	Chemical	MESH:D005947
Acetyl-CoA	Chemical	MESH:D000105
Oxaloacetate	Chemical	MESH:D010071
D-glucopyranose 6-phosphate Pentose phosphate	Chemical	MESH:D010710
Succinate	Chemical	MESH:D013386
Citrate	Chemical	MESH:C102006
diphosphate	Chemical	MESH:D011756
ammonium	Chemical	MESH:D064751
TCA	Chemical	MESH:C000589078
AMP	Chemical	MESH:D000249
Succinyl	Chemical	MESH:C035687
cis-Aconitate	Chemical	MESH:C043607
alpha-ketoglutarate	Chemical	MESH:C029743
Isocitrate	Chemical	MESH:D007523
cis-Aconitate	Chemical	MESH:C043607
