word	mesh	match	name	doid
SARS CoV-1	mesh:C000657245	NA	NA	NA
MERS-COV	mesh:D018352	NA	NA	NA
SARS-COV	mesh:D045169	NA	NA	NA
SARS-COV-2	mesh:D045169	NA	NA	NA
SARS COV-1N	mesh:C564388	NA	NA	NA
SARS-COV-1	mesh:D045169	NA	NA	NA
SARS-COV-1 Pipro  SARS-COV-2	mesh:D045169	NA	NA	NA
MERS-COV ORFAD	mesh:D018352	NA	NA	NA
SARS-CoV-2	mesh:C000657245	NA	NA	NA
SARS-CoV	mesh:C000657245	NA	NA	NA
MERS-CoV M	mesh:C566367	NA	NA	NA
SARS-COV-1 ORF6  SARS-COV-2	mesh:D045169	NA	NA	NA
MERS-COV ORF4a	mesh:D018352	NA	NA	NA
SARS-CoV-1	mesh:C000657245	NA	NA	NA
MERS-COV M	mesh:C566367	NA	NA	NA
SARS COV-2	mesh:D045169	NA	NA	NA
SARS-COV-2 N	mesh:D045169	NA	NA	NA
