word	type	identifier
Choline	Chemical	MESH:D002794
Choline	Chemical	MESH:D002794
LPC	Chemical	MESH:C470482
Ethanolamine	Chemical	MESH:D004983
O-O	Chemical	MESH:D013481
Glucose	Chemical	MESH:D005947
Pyruvate	Chemical	MESH:D011773
Acetyl COA	Chemical	MESH:C479798
TCA	Chemical	MESH:C000589078
Citrate	Chemical	MESH:C102006
Acetyl	Chemical	MESH:C011632
Mevalonate	Chemical	MESH:D008798
Mevalonate	Chemical	MESH:D008798
3-Ketodihydrosphingoline	Chemical	MESH:C039620
Serine	Chemical	MESH:C047902
Palmitoyl	Chemical	MESH:C032023
Cholesterol	Chemical	MESH:D002784
PalmitateMUFA PUFA	Chemical	MESH:D015525
Fatty acid	Chemical	MESH:D005227
