word	type	identifier
NaO	Chemical	MESH:D012964
H	Chemical	MESH:D006859
OCH3	Chemical	MESH:C542851
2-chloroacetic acid	Chemical	MESH:C006972
NaOH	Chemical	MESH:D012964
H2O	Chemical	MESH:D014867
TBTU	Chemical	MESH:C487980
glycine ethyl ester hydrochloride	Chemical	MESH:C022010
TEA	Chemical	MESH:C488288
CH3CN	Chemical	MESH:C496336
2,4-petanedione	Chemical	MESH:C082768
boric anhydride	Chemical	MESH:C032688
tri-n-butyl borate	Chemical	MESH:D001881
n-butyl amine	Chemical	MESH:C012267
ethyl acetate	Chemical	MESH:C007650
N HCl	Chemical	MESH:C014843
NaOH, MeOH	Chemical	MESH:C031356
H2O	Chemical	MESH:D014867
