word	mesh	match	name	chebi
Ferulic acid	mesh:C004999	NA	NA	NA
Naringenin	mesh:C005273	NA	NA	NA
Cyanidin	mesh:C017154	NA	NA	NA
delphinidin	mesh:C017185	NA	NA	NA
Cinnamic acid	mesh:C029010	NA	NA	NA
myricetin	mesh:C040015	NA	NA	NA
4-coumaroyl-CoA	mesh:C058644	NA	NA	NA
Leucoanthocyanidins	mesh:D000872	Anthocyanins	anthocyanin	chebi:38697
Caffeic acid	mesh:D002109	NA	NA	NA
Catechins	mesh:D002392	Catechin	(+)-catechin	chebi:15600
Phenylalanine	mesh:D010649	Phenylalanine	phenylalanine	chebi:28044
quercetin	mesh:D011794	Quercetin	quercetin	chebi:16243
Naringenin chalone	mesh:D050150	NA	NA	NA
