word	mesh	match	name	doid
carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
cancer	mesh:D009369	NA	NA	NA
trypandsomiasis	NA	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
HEVI infection	mesh:D007239	NA	NA	NA
Toxoplasmosis	mesh:D014123	NA	NA	NA
Colorectal cancer	mesh:D015179	NA	NA	NA
RenalCall carcinoma	mesh:D002277	Carcinoma	spindle cell carcinoma	doid:4015
Hepatitis B	mesh:D006509	NA	NA	NA
Phncraatic cancer	mesh:D009369	NA	NA	NA
HIF-1 sigralina alway  Renal el arcinoma  peptosis	mesh:D007674	NA	NA	NA
Endometrial cancer	mesh:D016889	NA	NA	NA
Chagas disease	mesh:D014355	Chagas disease	Chagas Disease	doid:12140
Pancreatie cancer	mesh:D009369	NA	NA	NA
Bmal cell lung cancer	mesh:D008175	NA	NA	NA
