word	source	identifier
TCA CYCLE	MESH	C000589078
Phosphoenol	MESH	C015443
Pyruvate	MESH	D011773
Fatty acid	MESH	D005227
THPP	MESH	C014870
Val	MESH	C081489
Leu	MESH	C038361
ethyl-THPP	MESH	C014870
S-Acetyldihydro	MESH	D013455
Acetyl-CoA	MESH	D000105
Alanane		
aspartate		
glutamate		
dicarboxylate	MESH	C004860
Citrate	MESH	C102006
Isocitrate	MESH	D007523
Oaloacetate		
cis-Aconitate	MESH	C043607
Malate O	MESH	D008293
Tyrosine		
Oalosuccinate Q	MESH	C000295
Arginine	MESH	D001127
Fumarate	MESH	D005650
Succinyl-CoA	MESH	C012046
glutarate	MESH	D005977
SSuccinyl		
1-hydrozypropyl-THPP	MESH	C014870
Succinate	MESH	D013386
dihydrolipoamide	MESH	C007409
Ascorbate	MESH	D001205
Alanine	MESH	D000409
