word	mesh	match	name	doid
AD	mesh:D000544	NA	NA	NA
ALS	mesh:C565957	Amyotrophic Lateral Sclerosis 2, Juvenile	amyotrophic lateral sclerosis type 2	doid:0060194
HD	mesh:D006816	NA	NA	NA
ICH	mesh:D002543	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
neuropathies	mesh:D009422	NA	NA	NA
AD	mesh:D000544	NA	NA	NA
AD	mesh:D000544	NA	NA	NA
ALS	mesh:C565957	Amyotrophic Lateral Sclerosis 2, Juvenile	amyotrophic lateral sclerosis type 2	doid:0060194
PD	mesh:D010300	NA	NA	NA
HD	mesh:D006816	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
