word	mesh	match	name	chebi
4-Hydroxybenzoate	mesh:C038193	NA	NA	NA
Coniferyl alcohol	mesh:C010559	coniferol	coniferyl alcohol	chebi:17745
Feruloyl	mesh:C119167	feruloyl-CoA	feruloyl-CoA	chebi:14261
Sinapyl alcohol	mesh:C496130	NA	NA	NA
Syringic acid	mesh:C001945	syringic acid	syringic acid	chebi:68329
Vanillin	mesh:C100058	NA	NA	NA
3-0-methylgalate	mesh:C027727	oxonium	hydronium ion	chebi:29412
B-ketoadipate	mesh:C027316	NA	NA	NA
Vanillate	mesh:C043606	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
Oxaloacetate	mesh:D010071	NA	NA	NA
Catechol	mesh:C034221	NA	NA	NA
Acetyl COA	mesh:C479798	NA	NA	NA
Caffeate	mesh:C042405	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
Acetyl CoA	mesh:D000105	Acetyl Coenzyme A	acetyl-CoA	chebi:15351
Succinate	mesh:D013386	Succinates	succinate	chebi:26806
coumaryl alcohol	mesh:C495469	NA	NA	NA
TCA	mesh:C000589078	NA	NA	NA
p-coumaric acid	mesh:C032171	NA	NA	NA
B-ketoadipate	mesh:C027316	NA	NA	NA
Pyruvate	mesh:D011773	NA	NA	NA
Acetyl	mesh:C011632	NA	NA	NA
