word	mesh	match	name	chebi
acetate	mesh:D000085	Acetates	acetate ester	chebi:47622
asparagine	mesh:D001216	Asparagine	L-asparagine	chebi:17196
aspartate	mesh:D001224	NA	NA	NA
glutamate aspartate	mesh:D001224	NA	NA	NA
fumarate	mesh:D005650	NA	NA	NA
glutamine	mesh:D005973	Glutamine	glutamine	chebi:28300
oxaloacetate	mesh:D010071	NA	NA	NA
pyruvate	mesh:D011773	NA	NA	NA
serine	mesh:D012694	Serine	L-serine	chebi:17115
glutamate	mesh:D018698	NA	NA	NA
glutamate aspartate	mesh:D018698	NA	NA	NA
lactate	mesh:D019344	NA	NA	NA
