word	source	identifier
LPA	MESH	C522988
TAM	MESH	C419191
OH	MESH	C031356
Wogonin	MESH	C085514
Wogonoside	MESH	C473995
Oxymatrine	MESH	C037573
Rutin	MESH	D012431
Scutellarin	MESH	C484876
Puerarin	MESH	C033607
Chlorogenic acid	MESH	D002726
Forskolin	MESH	D005576
Hesperetin	MESH	C013015
Salvianolic acid A	MESH	C066201
Salvianolic acid B	MESH	C076944
Baicalin	MESH	C038044
Luteolin	MESH	D047311
Epigallocatechin-3-gallate	MESH	C045651
Ligustrazine	MESH	C017953
Curcumin	MESH	D003474
Resveratrol	MESH	C059514
Berberine	MESH	D001599
Schisandrin B	MESH	C015499
