word	mesh	match	name	doid
Traumatic brain injury	mesh:D000070642	NA	NA	NA
axon injury	mesh:D001480	NA	NA	NA
inflammation	mesh:D007249	NA	NA	NA
ischemia	mesh:D007511	NA	NA	NA
TDP	mesh:D016171	NA	NA	NA
Chronic neurodegenerative diseases	mesh:D019636	NA	NA	NA
proteinopathy	mesh:C563476	Inclusion Body Myopathy With Early-Onset Paget Disease And Frontotemporal Dementia	inclusion body myopathy with Paget disease of bone and frontotemporal dementia	doid:0050881
dementia	mesh:D003704	dementia	Dementia	doid:1307
parkinsonism	mesh:D010302	NA	NA	NA
Alzheimers disease	mesh:D000544	NA	NA	NA
cognitive impairment	mesh:D003072	NA	NA	NA
psychiatric	mesh:D001523	NA	NA	NA
