word	type	identifier
ARG	Chemical	MESH:C545206
TYR	Chemical	MESH:C024558
LEU	Chemical	MESH:C080984
PRO	Chemical	MESH:C098830
ALA	Chemical	MESH:C114767
ARG	Chemical	MESH:C545206
LEU	Chemical	MESH:C080984
PHE	Chemical	MESH:C040798
PRO	Chemical	MESH:C098830
TYR	Chemical	MESH:C024558
ALA	Chemical	MESH:C114767
ARG	Chemical	MESH:C545206
PHE	Chemical	MESH:C040798
PRO	Chemical	MESH:C098830
TYR	Chemical	MESH:C024558
Ru5P	Chemical	MESH:D012428
Ru5P	Chemical	MESH:D012428
Ru5P	Chemical	MESH:D012428
TCA	Chemical	MESH:C000589078
TCA	Chemical	MESH:C000589078
TCA	Chemical	MESH:C000589078
PRO	Chemical	MESH:C098830
PRO	Chemical	MESH:C098830
