word	source	identifier
Lycopene	MESH	C015329
All-trans B carotene	MESH	D014212
trans-zeaxanthin	MESH	D065146
Cd	MESH	D002104
Glucosamine	MESH	D005944
Mercaptoethanol	MESH	D008623
Dithiotreitol		
trans-antheraxanthin	MESH	C031140
Galactosamine	MESH	D005688
Mannosamine	MESH	C008322
trans-violaxanthin	MESH	C005613
Orthophenanthroline		
Cysteine	MESH	D003545
9-cis-neoxanthin	MESH	C011947
Abamine	MESH	C514045
9-cis-violaxanthin	MESH	C005613
aldehyde	MESH	D000447
Fluridone	MESH	C013351
Norflurazone	MESH	C008677
Paclobutrazol	MESH	C053370
Ancymidol	MESH	C053577
