word	type	identifier
NaBH	Chemical	MESH:D012964
silica	Chemical	MESH:D012822
OAc	Chemical	MESH:C065699
1,4-dioxane	Chemical	MESH:C025223
Pyridine	Chemical	MESH:C023666
OAc	Chemical	MESH:C065699
OAc	Chemical	MESH:C065699
H2O	Chemical	MESH:D014867
THF	Chemical	MESH:C006461
OAc	Chemical	MESH:C065699
Neu5Ac	Chemical	MESH:C453731
AcO	Chemical	MESH:D000186
OAc	Chemical	MESH:C065699
DIPEA	Chemical	MESH:C027070
DMF	Chemical	MESH:C503868
AcO	Chemical	MESH:D000186
OAc	Chemical	MESH:C065699
K2CO2	Chemical	MESH:D011188
DMF	Chemical	MESH:C503868
