word	source	identifier
Glucose	MESH	D005947
Ribose-5P	MESH	D012266
Phosphate	MESH	D010710
NADPH	MESH	D009249
Glycine	MESH	D005998
5,10-MTHF	MESH	C032418
NAD	MESH	D009243
Serine	MESH	C047902
Folate	MESH	D005492
NADH	MESH	D009243
5-MTHF	MESH	C032418
Lactate	MESH	D019344
Homocysteine	MESH	D006710
carbon	MESH	D002244
Pyruvate	MESH	D011773
Methionine	MESH	D008715
FADH	MESH	C058805
Acetyl-CoA	MESH	D000105
Fatty acid	MESH	D005227
Citrate	MESH	C102006
Isocitrate	MESH	D007523
TCA	MESH	C000589078
Succinate	MESH	D013386
Glutamate		
Glutamine	MESH	C578860
