word	mesh	match	name	doid
Leishmaniasis  Rinal Arcinoma	mesh:D007896	NA	NA	NA
diabetic	mesh:D003920	NA	NA	NA
TULKAmia	NA	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
diabetic	mesh:D003920	NA	NA	NA
Prostate cancer	mesh:D011471	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
atherosclerosis	mesh:D050197	NA	NA	NA
Bladder cancer	mesh:D001749	NA	NA	NA
Hepatitis B	mesh:D006509	NA	NA	NA
Leukemia	mesh:D007938	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Glioma	mesh:D005910	Glioma	brain glioma	doid:0060108
cancer	mesh:D009369	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
diabetic	mesh:D003920	NA	NA	NA
