word	source	identifier
Ubiquinol	MESH	C003741
Prephenate	MESH	C005550
Indoleglycerol phosphate	MESH	C008117
Phenylpyruvate L-Arogenate	MESH	C015478
Indole	MESH	C030374
Acetate	MESH	D000085
L-Cysteine	MESH	D003545
Fumarate	MESH	D005650
D-Glucose	MESH	D005947
Hydrogen sulfide	MESH	D006862
Oxaloacetate	MESH	D010071
L-Phenylalanine	MESH	D010649
Orthophosphate	MESH	D010710
1-phosphate	MESH	D010710
Pyruvate	MESH	D011773
L-serine	MESH	D012694
L-Serine	MESH	D012694
Serine	MESH	D012694
Succinate	MESH	D013386
Sulfide	MESH	D013440
L-Tryptophan	MESH	D014364
Glutamate	MESH	D018698
