word	mesh	match	name	doid
Depression	mesh:D000275	Adjustment Disorders	adjustment disorder	doid:507
Anxiety	mesh:D001008	NA	NA	NA
Substance abuse disorders	mesh:D019966	NA	NA	NA
Dementia	mesh:D003704	dementia	Dementia	doid:1307
Alzheimers disease	mesh:D000544	NA	NA	NA
Schizophrenia or psychosis	mesh:D011605	NA	NA	NA
Cardiovascular	mesh:D002318	NA	NA	NA
Hyperlipidemia	mesh:D006949	NA	NA	NA
Hypertension	mesh:D006973	NA	NA	NA
Diabetes	mesh:D003920	NA	NA	NA
Cardiac arrhythmias	mesh:D001145	NA	NA	NA
Coronary artery disease	mesh:D003324	NA	NA	NA
Stroke	mesh:D020521	NA	NA	NA
Congestive heart failure	mesh:D006333	Heart Failure	congestive heart failure	doid:6000
brain amyloid	mesh:D017772	NA	NA	NA
Arthritis	mesh:D001168	NA	NA	NA
Cancer	mesh:D009369	NA	NA	NA
Osteoporosis	mesh:D010024	NA	NA	NA
Chronic kidney disease	mesh:D051436	NA	NA	NA
Mitochondrial dysfunction	mesh:D028361	NA	NA	NA
obesity	mesh:D009765	NA	NA	NA
