word	mesh	match	name	doid
Hepatitis Cvirus	mesh:D056486	NA	NA	NA
carcinoma  Hepatitis C	mesh:D006526	NA	NA	NA
cancer	mesh:D009369	NA	NA	NA
Anal cancer	mesh:D001005	NA	NA	NA
Penile cancer	mesh:D004414	NA	NA	NA
Apoplosis	NA	NA	NA	NA
neck carcinoma	mesh:D006258	Head and Neck Neoplasms	head and neck cancer	doid:11934
Growth etardation	mesh:D006130	NA	NA	NA
papillomavirus infection	mesh:D030361	NA	NA	NA
lymphoma	mesh:D008223	NA	NA	NA
Hodgkins lymphoma	mesh:D006689	Hodgkin Disease	Hodgkin's lymphoma, mixed cellularity	doid:8654
anaplanfation lymphoma	mesh:D008223	NA	NA	NA
Barr virus infection	mesh:D020031	NA	NA	NA
