word	source	identifier
pancreatic	MESH	D010195
liver cancers	MESH	D006528
hepatoma	MESH	D006528
glioblastoma	MESH	D005909
colon cancer	MESH	D015179
cancers	MESH	D009369
Glucose-6-P  tumour initiation	MESH	C537241
cancer	MESH	D009369
colorectal	MESH	D015179
gastrointestinal	MESH	D005767
malignant cancers	MESH	D009369
carcinomas and osteosarcoma	MESH	D012516
lung squamous  cell carcinoma	MESH	D002294
hepatocellular carcinoma	MESH	D006528
tumour	MESH	D009369
pancreas	MESH	D010190
multidrug-resistant ovarian cancer	MESH	D018088
gastric cancer	MESH	D013274
pancreatic cancer	MESH	D010190
leukemia	MESH	D007938
AML	MESH	D015470
CML	MESH	D015464
ALL	MESH	D054198
colorectal  cancer	MESH	D015179
neuroblastoma	MESH	D009447
non-small cell lung cancer	MESH	D002289
ovarian cancer	MESH	D010051
invasive bladder cancer	MESH	D001749
